class,l1,l2
pretending to be a statue ,arts and crafts,sculpturing
massaging neck ,human interactions,massaging
eating ice cream ,eating,
writing ,writing,paper
spray painting ,arts and crafts,drawing
shooting goal (soccer) ,regular sports,ball sports
making paper aeroplanes ,arts and crafts,paper
planting trees ,plant interactions,planting
strumming guitar ,musical instruments,string
getting a haircut ,personal care,hair
walking on stilts ,human body motions,limb movement
karaoke ,producing sound,singing
cleaning floor ,cleaning,limb movement
closing door ,human body motions,limb movement
making a sandwich ,kitchen,cooking
assembling bicycle ,interaction with automobiles,operating tools
riding elephant ,animal interactions,riding
fly tying ,arts and crafts,threads and cloths
hurling (sport) ,regular sports,bat sports
calculating ,human interactions,presenting
luge ,adventure sports,skating
sanding floor ,operating tools,
sign language interpreting ,human interactions,communication
needle felting ,arts and crafts,threads and cloths
playing trombone ,musical instruments,wind
playing basketball ,regular sports,ball sports
pushing cart ,interaction with automobiles,pushing
texting ,human interactions,communication
riding mechanical bull ,fun activities,riding
shaking head ,human body motions,face
sipping cup ,drinking,
visiting the zoo ,animal interactions,
bodysurfing ,adventure sports,water sports
eating watermelon ,eating,
home roasting coffee ,kitchen,cooking
running on treadmill ,exercising,running
using a power drill ,construction,operating tools
playing badminton ,regular sports,bat sports
smoking pipe ,human body motions,face
disc golfing ,regular sports,throwing
mountain climber (exercise) ,exercising,climbing
playing gong ,musical instruments,percussion
milking goat ,animal interactions,petting
climbing ladder ,exercising,climbing
attending conference ,human interactions,communication
surveying ,human interactions,communication
headbutting ,human interactions,fighting
wading through water ,human body motions,limb movement
ice skating ,adventure sports,skating
hugging baby ,human interactions,greeting
watering plants ,plant interactions,planting
drawing ,arts and crafts,drawing
counting money ,human body motions,limb movement
square dancing ,dancing,limb movement
skipping stone ,fun activities,throwing
blowing bubble gum ,fun activities,blowing
crossing eyes ,human body motions,eyes
reading newspaper ,reading,paper
playing shuffleboard ,games,board games
skiing crosscountry ,adventure sports,skating
scuba diving ,adventure sports,water sports
bending metal ,operating tools,
tossing salad ,kitchen,cooking
making balloon shapes ,arts and crafts,
eating chips ,eating,
rolling pastry ,kitchen,cooking
chasing ,adventure sports,running
doing laundry ,cleaning,limb movement
headbanging ,human body motions,face
sewing ,arts and crafts,threads and cloths
motorcycling ,interaction with automobiles,driving
playing billiards ,regular sports,
playing paintball ,games,shooting
carrying weight ,exercising,
walking through snow ,human body motions,limb movement
auctioning ,human interactions,communication
lighting fire ,fun activities,burning
pinching ,human interactions,touching
massaging feet ,human interactions,massaging
riding a bike ,interaction with automobiles,driving
moving baby ,human interactions,touching
treating wood ,working with wood,
dunking basketball ,regular sports,ball sports
driving tractor ,interaction with automobiles,driving
playing organ ,musical instruments,keyboard
weaving basket ,arts and crafts,threads and cloths
preparing salad ,kitchen,cooking
riding scooter ,interaction with automobiles,driving
playing beer pong ,games,throwing
bulldozing ,interaction with automobiles,driving
folding paper ,arts and crafts,paper
shredding paper ,operating tools,
breaking boards ,regular sports,combat activity
spelunking ,group activities,
ice swimming ,adventure sports,water sports
sawing wood ,working with wood,cutting
throwing discus ,regular sports,throwing
faceplanting ,human body motions,limb movement
making latte art ,arts and crafts,drawing
threading needle ,arts and crafts,threads and cloths
stretching leg ,exercising,limb movement
ski ballet ,dancing,limb movement
passing american football (not in game) ,regular sports,ball sports
applying cream ,make up,face
punching bag ,exercising,combat activity
sword fighting ,adventure sports,combat activity
high jump ,regular sports,jumping
building cabinet ,construction,installing
lifting hat ,human body motions,limb movement
sleeping ,human body motions,
playing darts ,games,throwing
sausage making ,kitchen,cooking
combing hair ,personal care,hair
waxing legs ,personal care,hair
brushing teeth ,personal care,
krumping ,dancing,limb movement
swimming front crawl ,adventure sports,water sports
base jumping ,adventure sports,descending
clam digging ,fun activities,digging
opening coconuts ,human body motions,limb movement
windsurfing ,adventure sports,water sports
trapezing ,group activities,balancing
pushing wheelbarrow ,interaction with automobiles,pushing
folding napkins ,home activities,
folding clothes ,home activities,
diving cliff ,adventure sports,diving sports
balloon blowing ,fun activities,blowing
cracking back ,human body motions,limb movement
unloading truck ,interaction with automobiles,driving
stacking dice ,fun activities,
smoking ,human body motions,blowing
changing wheel ,interaction with automobiles,repairing
riding snow blower ,interaction with automobiles,driving
ripping paper ,human body motions,limb movement
water sliding ,adventure sports,skating
laying concrete ,construction,masoning
checking tires ,interaction with automobiles,repairing
making bubbles ,fun activities,blowing
waiting in line ,fun activities,standing
making the bed ,home activities,
capoeira ,adventure sports,combat activity
water skiing ,adventure sports,water sports
historical reenactment ,group activities,gathering
playing rounders ,regular sports,bat sports
clapping ,human body motions,limb movement
sniffing ,human body motions,face
hammer throw ,regular sports,throwing
cracking neck ,human body motions,face
playing harmonica ,musical instruments,wind
sieving ,operating tools,
archery ,regular sports,shooting
petting animal (not cat) ,animal interactions,petting
cleaning windows ,cleaning,limb movement
riding mule ,animal interactions,riding
baby waking up ,human body motions,limb movement
digging ,fun activities,digging
rope pushdown ,exercising,limb movement
cleaning toilet ,cleaning,limb movement
grooming cat ,animal interactions,petting
golf chipping ,regular sports,bat sports
drinking beer ,drinking,
shooting basketball ,regular sports,ball sports
casting fishing line ,fun activities,fishing
parkour ,exercising,jumping
splashing water ,fun activities,
doing nails ,personal care,
sucking lolly ,eating,
petting horse ,animal interactions,petting
making slime ,fun activities,sculpturing
playing keyboard ,musical instruments,keyboard
head stand ,exercising,standing
throwing ball ,games,throwing
beatboxing ,producing sound,face
roasting marshmallows ,kitchen,cooking
tying knot (not on a tie) ,human body motions,limb movement
curling eyelashes ,make up,eye
skiing mono ,adventure sports,skating
feeding goats ,animal interactions,petting
sled dog racing ,adventure sports,skating
playing cymbals ,musical instruments,percussion
chopping meat ,kitchen,chopping
bouncing on bouncy castle ,fun activities,jumping
laying stone ,construction,masoning
doing sudoku ,games,paper
putting on eyeliner ,make up,eye
docking boat ,adventure sports,sailing
playing laser tag ,games,shooting
cooking sausages (not on barbeque) ,kitchen,cooking
cooking egg ,kitchen,cooking
barbequing ,kitchen,cooking
filling cake ,kitchen,cooking
passing soccer ball ,regular sports,ball sports
putting on shoes ,dressing up,limb movement
blowing nose ,personal care,
playing mahjong ,games,blocks games
playing blackjack ,games,cards
petting cat ,animal interactions,petting
playing xylophone ,musical instruments,percussion
abseiling ,adventure sports,descending
tightrope walking ,adventure sports,balancing
